id,piping_size
1,"1/8"""
2,"1/4"""
3,"3/8"""
4,"1/2"""
5,"3/4"""
6,"1"""
7,"1 1/4"""
8,"1 1/2"""
9,"2"""
10,"2 1/2"""
11,"3"""
12,"3 1/2"""
13,"4"""
14,"5"""
15,"6"""
16,"8"""
17,"10"""
18,"12"""
19,"14"""
20,"16"""
21,"18"""
22,"20"""
23,"24"""
24,"26"""
25,"30"""
26,"36"""
27,"48"""
28,"54"""
