name
3 P 
ADAMS 
ANVIL 
APCO
ASAHI/AMERICA 
BONNEY FORGE
BRAY INTERNATIONAL (McCANNALOK) 
CENTERLINE
CHEMTROL
CIRCLE SEAL 
CLOW
COOPER
CRANE 
DOW PLASTIC 
EDWARD
FLOWSEAL
FLOWSERVE 
GENERAL TWIN SEAL 
GROVE 
HEX 
HOERBIGER 
JAMESBURY 
JENKINS 
KEYSTONE - YARWAY 
KITZ
LADISH VALVES 
LUNKENHEIMER
METAL GOODS MANUFACTURING (MGM) 
MOKVELD Valves
NEWCO 
NIBCO 
NORDSTROM 
ORBIT 
PACIFIC 
POSI-SEAL 
POWELL
RAIMONDI
SHARPE
TAPCO 
TK Valves 
VALVTRON (KEYSTONE) 
VANESSA 
VELAN 
VERNON TOOL 
VOGT
WALWORTH
WHEATLY, TOM - Check Valve
WHEATLY/GASO - Disaster Check 
WORCESTER 
ZIDELL-DSI
ZIMMERMAN & JANSEN
