Class_Code,Service,Equ_Line_Class,Last_updt_id,Last_updt_date
DCA ,H2 OR H2HC MIXTURES (H2 PARTIAL PRESSURE 50 PSIA OR GREATER),USE CLASS DC,,
DEG ,CORROSIVE HYDROCARBON LIQUID & VAPOR,USE CLASS DE,,
DEV ,HYDROCARBONS: COKE DRUM CONTINUOUS PROCESS,USE CLASS DE,,
DEVJ,HYDROCARBON VAPORS: CYCLIC PORTION OF COKE DRUM OVERHEAD LINE,USE CLASS DEA,,
DHA ,PROCESS CONDENSATE FROM CO2 REMOVAL UNIT,USE CLASS DJ,,
DJB1,"LIGHT HYDROCARBONS, REGENERATION NITROGEN, LIQUID PROPYLENE, PROPYLENE VAPOR",NEVER USED AT CHERRY POINT,MARTD6,2008-9-19
DK2 ,"PROTO FUEL, ANALYZER SAMPLE","USE CLASS S-4; INCREASE SIZE TO 1.5 NPS""",,
FA1 ,"ADDITIVES, CYCLE GAS, NITROGEN, PURIFED NITROGEN (HIGH PRESSURE)",NEVER USED AT CHERRY POINT,HEDSTX,2008-4-4
FA3 ,"LIQUID PROPYLENE, PROPYLENE VAPOR, ADDITIVES, FILTERED N2, LIGHT HYDROCARBONS",NEVER USED AT CHERRY POINT,HEDSTX,2008-4-4
FAR ,HYDROCARBONS: INTERMITTENT COKER SERVICE,USE CLASS FCA,,
FAS ,BOILER EXTERNAL PIPING (ANSI B31.1): BLOW-DOWN SERVICE,USE CLASS FAP,,
FAW ,HYDROCARBON LIQUID & VAPOR (SOUR),USE CLASS FACN,FLORJR,2002-10-30
FCP ,BOILER EXTERNAL PIPING (ANSI B31.1): SUPERHEATED STEAM,USE CLASS FCD,,
FCX ,H2 OR H2HC MIXTURES (H2 PARTIAL PRESSURE 50 PSIA OR GREATER),USE CLASS FC,,
FFVJ,CORROSIVE HC LIQUID & VAPOR,USE CLASS FFV,FLORJR,2002-10-30
FH  ,BFW CHEMICALS,USE CLASS FJL,,
FL  ,CHEMICAL INJECTION INTO BFW (CALCINER),USE CLASS FJL,,
GAG ,"H2 OR H2HC MIXTURES (TO 500F) (H2 PARTIAL PRESSURE 50 PSIA OR GREATER), HYDROCARBON LIQUID & VAPOR (TO 750F)",USE CLASS GAC,,
GF  ,CORROSIVE HC,REPAIRS ONLY LB-37-1303-257&258,FLORJR,2002-10-30
GG  ,H2 OR H2HC MIXTURES (DIESEL HDS REACTOR EFFLUENT) (H2 PARTIAL PRESSURE  50 PSIA OR GREATER),USE CLASS GQ,,
HA3 ,KILL GAS,BELIEVED USED ONLY FOR CARSON POLYPROPYLENE UNIT & NOT USED AT CHERRY POINT.  SEE RELIABILITY ENGINEER FOR ASSISTANCE IF NEEDED.,MARTD6,2008-1-22
HAF ,H2 OR H2HC MIXTURES (H2 PARTIAL PRESSURE 50 PSIA OR GREATER) HYDROCARBON LIQUID & VAPOR,USE CLASS HAC,,
HAG ,"INTERMITTENT SERVICE:  REACTOR BYPASS (HC + H2HC MIXTURES) (TO 725F), H2 REGENERATION & ACTIVATION (TO 850F)",USE LINE CLASS HAC,,
