Valve_No,Manuf_Name,Figure_No,Last_Updt_Id,Last_Updt_Date
V03086,VELAN                                             ,F-1054T-02TS                                      ,PCSSME  ,1998-12-30
V03090,BONNEY FORGE*                                     ,L3-19-RTJ                                         ,PCSSME  ,1998-9-9
V03090,VELAN*                                            ,R-1054B-05TY                                      ,PCSSME  ,1998-9-9
V03100,KITZ*                                             ,300SCLS6C                                         ,PCSSME  ,1998-9-9
V03100,PACIFIC                                           ,2355-U-WC6-RJ                                     ,,
V03100,VELAN*                                            ,R-1064C-05TY                                      ,PCSSME  ,1998-9-9
V03100,WALWORTH*                                         ,5206F-UT                                          ,PCSSME  ,1998-9-9
V03150,BONNEY FORGE                                      ,3SWHL-12-RF                                       ,PCSSME  ,1998-12-30
V03150,VELAN                                             ,F-1054T-02TS                                      ,PCSSME  ,1998-12-30
V03151,BONNEY FORGE                                      ,3SWHL-12-RF                                       ,PCSSME  ,1998-12-30
V03151,VELAN                                             ,F-1054T-02TS                                      ,PCSSME  ,1998-12-30
V03152,BONNEY FORGE                                      ,3SL-12-RF                                         ,PCSSME  ,1998-12-30
V03152,VELAN                                             ,F-1054R-02TS                                      ,PCSSME  ,1998-12-30
V03153,BONNEY FORGE                                      ,3SL-12-RF                                         ,PCSSME  ,1998-12-30
V03153,VELAN                                             ,F-1054R-02TS                                      ,PCSSME  ,1998-12-30
V03155,BONNEY FORGE                                      ,3SWHL-10-RF                                       ,PCSSME  ,1998-12-30
V03155,VELAN                                             ,F-1054T-02NB                                      ,PCSSME  ,1998-12-30
V03156,BONNEY FORGE                                      ,3SL-10-RF                                         ,PCSSME  ,1998-12-30
V03156,VELAN                                             ,F-1054R-02NB                                      ,PCSSME  ,1998-12-30
V03157,BONNEY FORGE                                      ,3SWHL-10-RF                                       ,PCSSME  ,1998-12-30
V03157,VELAN                                             ,F-1054T-02NB                                      ,PCSSME  ,1998-12-30
V03158,BONNEY FORGE                                      ,3SL-10-RF                                         ,PCSSME  ,1998-12-30
V03158,VELAN                                             ,F-1054R-02NB                                      ,PCSSME  ,1998-12-30
V03201,BONNEY FORGE                                      ,,PCSSME  ,1999-7-9
V03201,VELAN                                             ,,PCSSME  ,1999-7-9
V03201,VOGT                                              ,,PCSSME  ,1999-7-9
V03202,BONNEY FORGE                                      ,,PCSSME  ,1999-7-9
V03202,VELAN                                             ,,PCSSME  ,1999-7-9
V03203,KITZ                                              ,,PCSSME  ,1999-7-9
V03203,NEWCO                                             ,,PCSSME  ,1999-7-9
V03203,PACIFIC                                           ,,PCSSME  ,1999-7-9
V03203,VELAN                                             ,,PCSSME  ,1999-7-9
V03203,WALWORTH                                          ,,PCSSME  ,1999-7-9
V03300,BONNEY FORGE                                      ,3SL-10-RF                                         ,PCSSME  ,1998-12-30
V03300,VELAN                                             ,F-1054R-09TS                                      ,PCSSME  ,1998-12-30
V03301,BONNEY FORGE                                      ,3SL-10-RFSF                                       ,PCSSME  ,1998-12-30
V03301,VELAN                                             ,F-1054R-05TS                                      ,PCSSME  ,1998-12-30
V03302,BONNEY FORGE                                      ,3SL-10-RTJ                                        ,PCSSME  ,1998-12-30
V03302,VELAN                                             ,R-1054R-04TS                                      ,PCSSME  ,1998-12-30
V03303,BONNEY FORGE                                      ,3SL-10-RTJ                                        ,PCSSME  ,1998-12-30
V03303,VELAN                                             ,R-1054R-04TS                                      ,PCSSME  ,1998-12-30
V03304,BONNEY FORGE                                      ,3SL-10-RF                                         ,PCSSME  ,1998-12-30
V03304,VELAN                                             ,F-1054R-02MS                                      ,PCSSME  ,1998-12-30
V03305,BONNEY FORGE                                      ,3SL-10-RTJ                                        ,PCSSME  ,1998-12-30
V03305,VELAN                                             ,R-1054R-05TS                                      ,PCSSME  ,1998-12-30
V03306,BONNEY FORGE                                      ,3SL-10-RF                                         ,PCSSME  ,1998-12-30
V03306,VELAN                                             ,F-1054R-02MS                                      ,PCSSME  ,1998-12-30
V03307,BONNEY FORGE                                      ,3SL-10-RFSF                                       ,PCSSME  ,1998-12-30
V03307,VELAN                                             ,F-1054R-05TS                                      ,PCSSME  ,1998-12-30
V03308,BONNEY FORGE                                      ,3SL-10-RTJ                                        ,PCSSME  ,1998-12-30
V03308,VELAN                                             ,R-1054R-05TS                                      ,PCSSME  ,1998-12-30
V03309,BONNEY FORGE                                      ,3SL-10-RF                                         ,PCSSME  ,1998-12-30
V03309,VELAN                                             ,F-1054R-09TS                                      ,PCSSME  ,1998-12-30
V03310,BONNEY FORGE                                      ,,PCSSME  ,1999-7-14
V03310,VELAN                                             ,F-1064T-13M                                       ,PCSSME  ,1999-7-14
V03352,BONNEY FORGE                                      ,3SWHL-10-RFSF                                     ,PCSSME  ,1998-12-30
V03352,VELAN                                             ,F-1054T-14MS                                      ,PCSSME  ,1998-12-30
V03353,BONNEY FORGE                                      ,3SWHL-10-RFSF                                     ,PCSSME  ,1998-12-30
V03353,VELAN                                             ,F-1054T-14MS                                      ,PCSSME  ,1998-12-30
V03354,BONNEY FORGE                                      ,3SWHL-10-RF                                       ,PCSSME  ,1998-12-30
V03354,VELAN                                             ,F-1054T-14MS                                      ,PCSSME  ,1998-12-30
V03355,BONNEY FORGE                                      ,3SWHL-10-RFSF                                     ,PCSSME  ,1998-12-30
V03355,VELAN                                             ,F-1054T-14MS                                      ,PCSSME  ,1998-12-30
V03365,BONNEY FORGE                                      ,L3-11-RF-ASME Section 1                           ,THOM1J  ,2005-1-26
V03365,VELAN                                             ,F-1045B-02TY                                      ,THOM1J  ,2005-1-26
V03365,VOGT                                              ,363                                               ,THOM1J  ,2005-1-26
V03366,KITZ                                              ,300SCLS                                           ,THOM1J  ,2005-1-26
V03366,NEWCO                                             ,13F-CB2FP                                         ,THOM1J  ,2005-1-26
V03366,PACIFIC                                           ,2355-WCB-(API TRIM #8)                            ,THOM1J  ,2005-1-26
V03366,VELAN                                             ,F-1064C-02TY                                      ,THOM1J  ,2005-1-26
V03366,WALWORTH                                          ,5206RF08A                                         ,THOM1J  ,2005-1-26
V03367,KITZ                                              ,W300SCLS                                          ,THOM1J  ,2005-1-26
V03367,NEWCO                                             ,13W-CB2FP                                         ,THOM1J  ,2005-1-26
V03367,PACIFIC                                           ,2355-WCB-(API TRIM #8)-WE                         ,THOM1J  ,2005-1-26
V03367,VELAN                                             ,B-1064C-02TY                                      ,THOM1J  ,2005-1-26
V03367,WALWORTH                                          ,5206WE08A                                         ,THOM1J  ,2005-1-26
V03400,KITZ*                                             ,W300SCJS                                          ,PCSSME  ,1998-9-9
V03400,NEWCO*                                            ,23W-CB2                                           ,PCSSME  ,1998-9-9
V03400,PACIFIC                                           ,360-U-WE (STD WT)                                 ,,
V03400,VELAN*                                            ,B-1074C-02TY                                      ,PCSSME  ,1998-9-9
V03400,WALWORTH*                                         ,5281WE-UT                                         ,PCSSME  ,1998-9-9
V03402,KITZ*                                             ,300SCJSMM-N                                       ,PCSSME  ,1999-2-18
V03402,NEWCO*                                            ,23F-CB9-N1                                        ,PCSSME  ,1998-9-9
V03402,PACIFIC                                           ,360-12H                                           ,,
V03402,VELAN*                                            ,F-1074C-02MY                                      ,PCSSME  ,1998-9-9
V03403,KITZ*                                             ,300SCJBMM                                         ,PCSSME  ,1998-9-9
V03403,NEWC0*                                            ,23F-CB9                                           ,PCSSME  ,1998-9-9
V03403,PACIFIC                                           ,360-12H                                           ,,
V03403,VELAN*                                            ,F-1074C-02MY                                      ,PCSSME  ,1998-9-9
V03403,WALWORTH*                                         ,5281F                                             ,PCSSME  ,1998-9-9
V03404,BONNEY FORGE                                      ,3SWHL-32-RFSF                                     ,PCSSME  ,1998-12-30
V03404,VELAN                                             ,F-1074T-02TS                                      ,PCSSME  ,1998-12-30
V03405,BONNEY FORGE                                      ,3SWHL-32-RFSF                                     ,PCSSME  ,1998-12-30
V03405,VELAN                                             ,F-1074T-02TS                                      ,PCSSME  ,1998-12-30
V03406,COOPER                                            ,230RF-316/316HS                                   ,,
V03406,KITZ*                                             ,300UPAM                                           ,PCSSME  ,1998-9-9
V03406,LADISH                                            ,7372-CF8M                                         ,,
V03406,PACIFIC                                           ,S360-12H                                          ,,
V03406,VELAN*                                            ,F-1074C-13MY                                      ,PCSSME  ,1998-9-9
V03408,COOPER                                            ,230RF-02                                          ,,
V03408,KITZ                                              ,300UPA                                            ,,
V03408,LADISH                                            ,7372-M35                                          ,,
V03408,PACIFIC                                           ,M360-8                                            ,,
V03408,VELAN                                             ,F-1074C-19XX                                      ,PCSSME  ,1998-9-9
V03409,COOPER                                            ,230-RFSF                                          ,,
V03409,KITZ*                                             ,300UPAM                                           ,PCSSME  ,1998-9-9
V03409,LADISH                                            ,7372-CF8M                                         ,,
V03409,PACIFIC                                           ,S360-12H                                          ,,
V03409,VELAN*                                            ,F-1074C-13MY                                      ,PCSSME  ,1998-9-9
V03410,KITZ*                                             ,300SCJS                                           ,PCSSME  ,1999-2-18
V03410,NEWCO*                                            ,23F-CB2                                           ,PCSSME  ,1998-9-9
V03410,PACIFIC                                           ,360-U                                             ,,
V03410,VELAN*                                            ,F-1074C-02TY                                      ,PCSSME  ,1998-9-9
V03410,WALWORTH*                                         ,5281F-UT                                          ,PCSSME  ,1999-2-18
V03411,EDWARD                                            ,318                                               ,,
V03411,KITZ*                                             ,300SCJS                                           ,PCSSME  ,1999-2-18
V03411,NEWCO*                                            ,23F-CB2                                           ,PCSSME  ,1998-9-9
V03411,PACIFIC                                           ,360-U                                             ,,
V03411,VELAN*                                            ,F-1074C-02TY                                      ,PCSSME  ,1998-9-9
V03411,WALWORTH*                                         ,5281F-UT                                          ,PCSSME  ,1998-9-9
V03412,BONNEY FORGE*                                     ,HL-30-SW(1)                                       ,PCSSME  ,1998-9-9
V03412,COOPER                                            ,4301-X                                            ,,
V03412,LADISH                                            ,7361-CF3M                                         ,,
V03412,VELAN*                                            ,W-2074B-14MY(1)                                   ,PCSSME  ,1998-9-9
V03413,KITZ                                              ,300UPACND-Q                                       ,COBBS2  ,2002-11-12
V03413,KITZ                                              ,300UPANCB-Q                                       ,COBBS2  ,2002-11-12
V03417,BONNEY FORGE                                      ,,PCSSME  ,1999-7-14
V03417,VELAN                                             ,W-1074E-14M                                       ,PCSSME  ,1999-7-14
V03418,KITZ                                              ,300SCJCLMM                                        ,PCSSME  ,1999-7-13
V03418,NEWCO                                             ,,PCSSME  ,1999-7-13
V03418,PACIFIC                                           ,,PCSSME  ,1999-7-13
V03418,VELAN                                             ,,PCSSME  ,1999-7-13
V03418,WALWORTH                                          ,,PCSSME  ,1999-7-13
V03420,KITZ*                                             ,300SCJS5C                                         ,PCSSME  ,1999-2-18
V03420,PACIFIC                                           ,360-U-C5                                          ,,
V03420,WALWORTH*                                         ,5281F                                             ,PCSSME  ,1998-12-7
V03421,KITZ*                                             ,300SCJS12C                                        ,PCSSME  ,1999-2-18
V03421,PACIFIC                                           ,360-U-C12                                         ,,
V03421,WALWORTH*                                         ,5281F                                             ,PCSSME  ,1998-12-7
V03424,BONNEY FORGE                                      ,,PCSSME  ,1999-7-9
V03424,VELAN                                             ,,PCSSME  ,1999-7-9
V03425,KITZ                                              ,,PCSSME  ,1999-7-9
V03425,NEWCO                                             ,,PCSSME  ,1999-7-9
V03425,PACIFIC                                           ,,PCSSME  ,1999-7-9
V03425,VELAN                                             ,,PCSSME  ,1999-7-9
V03425,WALWORTH                                          ,,PCSSME  ,1999-7-9
V03431,KITZ*                                             ,300SCJS6C                                         ,PCSSME  ,1999-2-18
V03431,PACIFIC                                           ,360-U-WC6                                         ,,
V03431,WALWORTH*                                         ,5281F                                             ,PCSSME  ,1998-12-7
V03440,KITZ*                                             ,300SCJS6C                                         ,PCSSME  ,1999-2-18
V03440,PACIFIC                                           ,360-U-WC6                                         ,,
V03440,WALWORTH*                                         ,5281F-RTJ                                         ,PCSSME  ,1998-12-7
V03441,KITZ*                                             ,300SCJ5CS                                         ,PCSSME  ,1998-12-7
V03441,PACIFIC                                           ,360-U-C5                                          ,,
V03441,WALWORTH*                                         ,5281F-RTJ                                         ,PCSSME  ,1998-12-7
V03445,BONNEY FORGE                                      ,3SL-30-RF                                         ,PCSSME  ,1998-12-30
V03445,VELAN                                             ,F-1074R-09TS                                      ,PCSSME  ,1998-12-30
V03446,BONNEY FORGE                                      ,3SL-30-RFSF                                       ,PCSSME  ,1998-12-30
V03446,VELAN                                             ,F-1074R-05TS                                      ,PCSSME  ,1998-12-30
V03447,BONNEY FORGE                                      ,3SL-30-RTJ                                        ,PCSSME  ,1998-12-30
V03447,VELAN                                             ,R-1074R-05TS                                      ,PCSSME  ,1998-12-30
V03448,BONNEY FORGE                                      ,3SL-30-RF                                         ,PCSSME  ,1998-12-30
V03448,VELAN                                             ,F-1074R-04TS                                      ,PCSSME  ,1998-12-30
V03449,BONNEY FORGE                                      ,3SL-30-RTJ                                        ,PCSSME  ,1998-12-30
V03449,VELAN                                             ,R-1074R-04TS                                      ,PCSSME  ,1998-12-30
V03451,BONNEY FORGE                                      ,3SWHL-30-RFSF                                     ,PCSSME  ,1998-12-30
V03451,VELAN                                             ,F-1074T-13MS                                      ,PCSSME  ,1998-12-30
V03452,BONNEY FORGE                                      ,3SL-30-RF                                         ,PCSSME  ,1998-12-30
V03452,VELAN                                             ,F-1074R-02MS                                      ,PCSSME  ,1998-12-30
V03453,BONNEY FORGE                                      ,3SWHL-30-RF                                       ,PCSSME  ,1998-12-30
V03453,VELAN                                             ,F-1074T-13MS                                      ,PCSSME  ,1998-12-30
V03454,BONNEY FORGE                                      ,3SL-30-RF                                         ,PCSSME  ,1998-12-30
V03454,VELAN                                             ,F-1074R-02MS                                      ,PCSSME  ,1998-12-30
V03455,BONNEY FORGE                                      ,3SL-30-RFSF                                       ,PCSSME  ,1998-12-30
V03455,VELAN                                             ,F-1074R-05TS                                      ,PCSSME  ,1998-12-30
V03456,BONNEY FORGE                                      ,3SL-30-RTJ                                        ,PCSSME  ,1998-12-30
V03456,VELAN                                             ,R-1074R-05TS                                      ,PCSSME  ,1998-12-30
V03457,BONNEY FORGE                                      ,3SL-30-RF                                         ,PCSSME  ,1998-12-30
V03457,VELAN                                             ,F-1074R-04TS                                      ,PCSSME  ,1998-12-30
V03458,BONNEY FORGE                                      ,3SL-30-RTJ                                        ,PCSSME  ,1998-12-30
V03458,VELAN                                             ,R-1074R-04TS                                      ,PCSSME  ,1998-12-30
V03459,BONNEY FORGE                                      ,3SL-30-RF                                         ,PCSSME  ,1998-12-30
V03459,VELAN                                             ,F-1074R-09TS                                      ,PCSSME  ,1998-12-30
V03460,BONNEY FORGE                                      ,3SWHL-30-RFSF                                     ,PCSSME  ,1998-12-30
V03460,VELAN                                             ,F-1074T-13MS                                      ,PCSSME  ,1998-12-30
V03461,BONNEY FORGE                                      ,3SWHL-30-RF                                       ,PCSSME  ,1998-12-30
V03461,VELAN                                             ,F-1074T-13MS                                      ,PCSSME  ,1998-12-30
V03462,VELAN                                             ,F-1074T-13MS                                      ,PCSSME  ,1998-12-30
V03463,BONNEY FORGE                                      ,,PCSSME  ,1999-7-9
V03463,VELAN                                             ,F-1074T-13MY                                      ,PCSSME  ,1999-7-9
V03470,KITZ*                                             ,300SCJ6CS                                         ,PCSSME  ,1998-12-7
V03470,PACIFIC                                           ,360-U-WC6                                         ,,
V03470,WALWORTH*                                         ,5281F-RTJ                                         ,PCSSME  ,1998-12-7
V03472,BONNEY FORGE*                                     ,L3-30-RFSF                                        ,PCSSME  ,1998-12-7
V03472,COOPER                                            ,230-RFSF                                          ,PCS41CR ,1997-8-7
V03472,KITZ*                                             ,300UPACB                                          ,PCSSME  ,1998-12-7
V03472,LADISH                                            ,7372-CF8C                                         ,PCS41CR ,1997-8-7
V03472,PACIFIC                                           ,360-17H-CF8C                                      ,PCS41CR ,1997-8-7
V03472,POWELL                                            ,2447                                              ,PCS41CR ,1997-8-7
V03472,VELAN*                                            ,F-1074B-15-AA                                     ,PCSSME  ,1998-12-7
V03480,BONNEY FORGE                                      ,3SWHL-32-RF                                       ,PCSSME  ,1998-12-30
V03480,VELAN                                             ,F-1074T-02TS                                      ,PCSSME  ,1998-12-30
V03481,BONNEY FORGE                                      ,3SWHL-32-RF                                       ,PCSSME  ,1998-12-30
V03481,VELAN                                             ,F-1074T-02TS                                      ,PCSSME  ,1998-12-30
V03482,BONNEY FORGE                                      ,3SL-32-RF                                         ,PCSSME  ,1998-12-30
V03482,VELAN                                             ,F-1074R-02TS                                      ,PCSSME  ,1998-12-30
V03483,BONNEY FORGE                                      ,3SL-32-RF                                         ,PCSSME  ,1998-12-30
V03483,VELAN                                             ,F-1074R-02TS                                      ,PCSSME  ,1998-12-30
V03485,BONNEY FORGE                                      ,3SWHL-30-RF                                       ,PCSSME  ,1998-12-30
V03485,VELAN                                             ,F-1074T-02NB                                      ,PCSSME  ,1998-12-30
V03486,BONNEY FORGE                                      ,3SL-30-RF                                         ,PCSSME  ,1998-12-30
V03486,VELAN                                             ,F-1074R-02NB                                      ,PCSSME  ,1998-12-30
V03487,BONNEY FORGE                                      ,3SWHL-30-RF                                       ,PCSSME  ,1998-12-30
V03487,VELAN                                             ,F-1074T-02NB                                      ,PCSSME  ,1998-12-30
V03488,BONNEY FORGE                                      ,3SL-30-RF                                         ,PCSSME  ,1998-12-30
V03488,VELAN                                             ,F-1074R-02NB                                      ,PCSSME  ,1998-12-30
V03490,KITZ                                              ,W300SCJS                                          ,THOM1J  ,2005-1-26
V03490,NEWCO                                             ,23W-CB2                                           ,THOM1J  ,2005-1-26
V03490,PACIFIC                                           ,360-WCB-(API TRIM #8)-WE                          ,THOM1J  ,2005-1-26
V03490,VELAN                                             ,B-1074C-02TY                                      ,THOM1J  ,2005-1-26
V03490,WALWORTH                                          ,5281WE08A                                         ,THOM1J  ,2005-1-26
V03491,KITZ                                              ,300SCJS                                           ,THOM1J  ,2005-1-27
V03491,NEWCO                                             ,23F-CB2                                           ,THOM1J  ,2005-1-27
V03491,PACIFIC                                           ,360-WCB-(API TRIM # 8)                            ,THOM1J  ,2005-1-27
V03491,VELAN                                             ,F-1074C-02TY                                      ,THOM1J  ,2005-1-27
V03491,WALWORTH                                          ,5281RF08A                                         ,THOM1J  ,2005-1-27
V03500,KITZ                                              ,300UOACNB-Q                                       ,COBBS2  ,2002-11-12
V03500,KITZ                                              ,300UOACND-Q                                       ,COBBS2  ,2002-11-12
V03500,KITZ                                              ,300UOCCND-Q                                       ,COBBS2  ,2002-11-12
V03506,COOPER                                            ,330RF                                             ,,
V03506,KITZ                                              ,300UOAM                                           ,PWTDKC  ,1996-8-26
V03506,LADISH                                            ,5372-CF8M                                         ,PWTDKC  ,1996-8-26
V03506,PACIFIC                                           ,380-12-RF                                         ,PCS41CR ,1997-7-31
V03507,COOPER                                            ,330RF                                             ,,
V03507,KITZ                                              ,300UOAM                                           ,,
V03507,LADISH                                            ,5372-CF8M                                         ,,
V03507,PACIFIC                                           ,380-12-RF                                         ,PCS41CR ,1997-7-31
V03509,KITZ                                              ,300SC0SMM                                         ,PCSSME  ,1999-2-18
V03509,NEWCO                                             ,33F-CB4                                           ,,
V03509,PACIFIC                                           ,380-12                                            ,,
V03509,WALWORTH                                          ,5344F                                             ,,
V03510,KITZ                                              ,W300SCOB                                          ,,
V03510,NEWCO                                             ,33W-CB2                                           ,,
V03510,PACIFIC                                           ,"380-U-WE  (STD WT) 1.1/2"" TO 30""                  ",PCS41CR ,1997-7-31
V03510,PACIFIC                                           ,"384-U-WE (STD WT) 24"" & 30""                       ",PCS41CR ,1997-7-31
V03510,WALWORTH                                          ,5344WE                                            ,PWTDKC  ,1996-8-26
V03511,COOPER                                            ,330RF-02                                          ,,
V03511,KITZ                                              ,300U0A                                            ,,
V03511,LADISH                                            ,5372                                              ,,
V03511,PACIFIC                                           ,M380-8-RF                                         ,,
V03512,KITZ                                              ,R300SC05CS                                        ,,
V03512,PACIFIC                                           ,"380U-C5-RJ (1.1/2"" TO 30"")                        ",PCS41CR ,1997-7-31
V03512,PACIFIC                                           ,"384U-C5-RJ (24"" & 30"")                            ",PCS41CR ,1997-7-31
V03512,WALWORTH                                          ,5344-F                                            ,,
V03513,BONNEY FORGE                                      ,L3-60-RFSF                                        ,PCS41CR ,1997-8-7
V03513,COOPER                                            ,330-RFSF                                          ,PCS41CR ,1997-8-7
V03513,KITZ                                              ,300UOACB                                          ,PCS41CR ,1997-8-7
V03513,LADISH                                            ,5372-CF8C                                         ,PCS41CR ,1997-8-7
V03513,PACIFIC                                           ,380-17H-CF8C                                      ,PCS41CR ,1997-8-7
V03513,PACIFIC                                           ,384-17H-CF8C                                      ,PCS41CR ,1997-8-7
V03513,POWELL                                            ,2346                                              ,PCS41CR ,1997-8-7
V03513,VELAN                                             ,F-1114B-15-AA                                     ,PCS41CR ,1997-8-7
V03514,KITZ                                              ,300SCOCLMM                                        ,PCSSME  ,1999-7-13
V03514,NEWCO                                             ,,PCSSME  ,1999-7-13
V03514,PACIFIC                                           ,,PCSSME  ,1999-7-13
V03514,VELAN                                             ,,PCSSME  ,1999-7-13
V03514,WALWORTH                                          ,,PCSSME  ,1999-7-13
V03520,KITZ                                              ,300SCOS                                           ,PCSSME  ,1998-12-30
V03520,NEWCO                                             ,33F-CB2                                           ,PCSSME  ,1998-12-30
V03520,VELAN                                             ,F-1114C-02TY                                      ,PCSSME  ,1998-12-30
V03520,WALWORTH                                          ,5344F-UT                                          ,PCSSME  ,1998-12-30
V03521,KITZ                                              ,300SCOS                                           ,PCSSME  ,1998-12-30
V03521,NEWCO                                             ,33F-CB2                                           ,,
V03521,PACIFIC                                           ,380-12                                            ,,
V03521,WALWORTH                                          ,5344F-UT                                          ,PCSSME  ,1998-12-30
V03522,KITZ                                              ,300SCOSMM-N                                       ,PCSSME  ,1999-2-18
V03522,NEWCO                                             ,33F-CB4-N1                                        ,,
V03522,PACIFIC                                           ,380-12                                            ,,
V03522,WALWORTH                                          ,5344F                                             ,,
V03523,LADISH                                            ,5351-CF3M                                         ,,
V03524,BONNEY FORGE                                      ,,PCSSME  ,1999-7-9
V03524,VELAN                                             ,W-1034B-14MX                                      ,PCSSME  ,1999-7-9
V03527,COOPER                                            ,,PCSSME  ,1999-7-9
V03527,KITZ                                              ,K300UOAM                                          ,PCSSME  ,1999-7-9
V03527,LADISH VALVES                                     ,,PCSSME  ,1999-7-9
V03527,POWELL                                            ,,PCSSME  ,1999-7-9
V03527,VELAN                                             ,,PCSSME  ,1999-7-9
V03530,STOCKHAM                                          ,G30SPF-169                                        ,PCS41CR ,1997-8-4
V03530,STOCKHAM                                          ,M300CEEYR                                         ,PCS41CR ,1997-8-5
V03540,KITZ                                              ,300SCOS5C                                         ,PCSSME  ,1999-2-18
V03540,PACIFIC                                           ,"380-U-C5 (1.1/2"" TO 30"")                          ",PCS41CR ,1997-7-31
V03540,PACIFIC                                           ,"384-U-C5 (24"" & 30"")                              ",PCS41CR ,1997-7-31
V03540,WALWORTH                                          ,5344F                                             ,,
V03541,KITZ                                              ,300SCOS12C                                        ,PCSSME  ,1999-2-18
V03541,PACIFIC                                           ,"380-U-C12 (1.1/2"" TO 30"")                         ",PCS41CR ,1997-7-31
V03541,PACIFIC                                           ,"384-U-C12 (24"" & 30"")                             ",PCS41CR ,1997-7-31
V03541,WALWORTH                                          ,5344F                                             ,,
V03545,KITZ                                              ,,PCSSME  ,1999-7-9
V03545,NEWCO                                             ,,PCSSME  ,1999-7-9
V03545,PACIFIC                                           ,,PCSSME  ,1999-7-9
V03545,VELAN                                             ,,PCSSME  ,1999-7-9
V03545,WALWORTH                                          ,,PCSSME  ,1999-7-9
V03551,CHECK-ALL                                         ,FIV                                               ,PCSSME  ,1999-7-9
V03553,CHECK - ALL VALVE                                 ,FIV                                               ,PCSSME  ,1999-7-9
V03561,KITZ                                              ,300SCOS6C                                         ,PCSSME  ,1999-2-18
V03561,PACIFIC                                           ,"380-U-WC6 (1.1/2"" TO 30"")                         ",PCS41CR ,1997-7-31
V03561,PACIFIC                                           ,"384-U-WC6 (24"" & 30"")                             ",PCS41CR ,1997-7-31
V03561,WALWORTH                                          ,5344F                                             ,,
V03580,KITZ                                              ,R300SCOS6C                                        ,PCSSME  ,1999-2-18
V03580,PACIFIC                                           ,"380-U-WC6 (1.1/2"" TO 30"")                         ",PCS41CR ,1997-7-31
V03580,PACIFIC                                           ,"384-U-WC6 (24"" & 30"")                             ",PCS41CR ,1997-7-31
V03580,WALWORTH                                          ,5344F                                             ,,
V03585,KITZ                                              ,W300SCOS                                          ,THOM1J  ,2005-1-27
V03585,NEWCO                                             ,33W-CB2                                           ,THOM1J  ,2005-1-27
V03585,PACIFIC                                           ,380-WCB-(API TRIM # 8)-WE                         ,THOM1J  ,2005-1-27
V03585,PACIFIC                                           ,384-WCB-(API TRIM # 8)-WE                         ,THOM1J  ,2005-1-27
V03585,WALWORTH                                          ,5344WE08A                                         ,THOM1J  ,2005-1-27
V03586,KITZ                                              ,300SCOS                                           ,THOM1J  ,2005-2-7
V03586,NEWCO                                             ,33F-CB2                                           ,THOM1J  ,2005-2-7
V03586,VELAN                                             ,F-1114C-02TY                                      ,THOM1J  ,2005-2-7
V03586,WALWORTH                                          ,5344RF08A                                         ,THOM1J  ,2005-2-7
V03610,BONNEY FORGE                                      ,L3-49-RTJ                                         ,,
V03610,VELAN                                             ,R-1034B-05-TY                                     ,,
V03700,NORDSTROM                                         ,2024-1/2SW                                        ,,
V03700,WALWORTH                                          ,1760SWE                                           ,,
V03701,NORDSTROM                                         ,2024-1/2SW                                        ,,
V03702,NORDSTROM                                         ,"2025 (1"" ONLY)                                    ",PCS41CR ,1997-7-31
V03702,NORDSTROM                                         ,"2045 (1.1/2"" TO 4"")                               ",PCS41CR ,1997-7-31
V03702,NORDSTROM                                         ,"2049 (6"" TO 8"")                                   ",PCS41CR ,1997-7-31
V03702,NORDSTROM                                         ,"4249 (10"" TO 24"")                                 ",PCS41CR ,1997-7-31
V03703,NORDSTROM                                         ,2024                                              ,,
V03704,DURCO                                             ,G431-E-D20/D20                                    ,,
V03704,TUFLINE                                           ,0367                                              ,,
V03706,NORDSTROM                                         ,"2025 (1"" ONLY)                                    ",PCS41CR ,1997-7-31
V03706,NORDSTROM                                         ,"2045 (1.1/2"" TO 4"")                               ",PCS41CR ,1997-7-31
V03706,NORDSTROM                                         ,"2049 (6"" TO 8"")                                   ",PCS41CR ,1997-7-31
V03706,NORDSTROM                                         ,"4249 (10"" TO 24"")                                 ",PCS41CR ,1997-7-31
V03710,NORDSTROM                                         ,"2025 (1"" ONLY)                                    ",PCS41CR ,1997-7-31
V03710,NORDSTROM                                         ,"2045 (1.1/2"" TO 4"")                               ",PCS41CR ,1997-7-31
V03710,NORDSTROM                                         ,"2049 (6"" TO 8"")                                   ",PCS41CR ,1997-7-31
V03710,NORDSTROM                                         ,"4249 (10"" TO 24"")                                 ",PCS41CR ,1997-7-31
V03710,WALWORTH                                          ,"1760F (1"" to 4"")                                  ",PCS41CR ,1997-7-31
V03710,WALWORTH                                          ,"3422 (6"" to 8"")                                   ",PCS41CR ,1997-7-31
V03710,WALWORTH                                          ,"3622 (10"" to 24"")                                 ",PCS41CR ,1997-7-31
V03711,NORDSTROM                                         ,"2025 (1"" ONLY)                                    ",PCS41CR ,1997-7-31
V03711,NORDSTROM                                         ,"2045 (1.1/2"" TO 4"")                               ",PCS41CR ,1997-7-31
V03711,NORDSTROM                                         ,"2049 (6"" TO 8"")                                   ",PCS41CR ,1997-7-31
V03711,NORDSTROM                                         ,"4249 (10"" TO 24"")                                 ",PCS41CR ,1997-7-31
V03711,WALWORTH                                          ,"1760F (1"" to 4"")                                  ",PCS41CR ,1997-7-31
V03711,WALWORTH                                          ,"3422 (6"" to 8"")                                   ",PCS41CR ,1997-7-31
