Valve_No,Manuf_Name,Figure_No,Last_Updt_Id,Last_Updt_Date
V01010,VELAN*                                            ,F-0064C-02TY                                      ,PCSSME  ,2008-12-31
V01011,BONNEY FORGE*                                     ,L1-11-RF                                          ,PCSSME  ,1998-11-30
V01011,VELAN*                                            ,F-0054B-02TY                                      ,PCSSME  ,1998-11-30
V01011,VOGT*                                             ,353                                               ,PCSSME  ,1998-11-30
V01012,BONNEY FORGE*                                     ,L1-13-RF                                          ,PCSSME  ,1999-2-22
V01012,VELAN*                                            ,F-0054B-02NB                                      ,PCSSME  ,1998-11-30
V01012,VOGT*                                             ,353 F8M                                           ,PCSSME  ,1998-11-30
V01013,KITZ*                                             ,150SCLSMM-N                                       ,PCSSME  ,1999-2-18
V01013,NEWCO*                                            ,11F-CB4N1                                         ,PCSSME  ,1999-2-19
V01013,PACIFIC                                           ,150-12H                                           ,,
V01013,PACIFIC                                           ,2155-12H                                          ,,
V01013,VELAN*                                            ,F-0064C-02NB                                      ,PCSSME  ,1999-2-19
V01013,WALWORTH*                                         ,5202F                                             ,PCSSME  ,1998-9-3
V01014,BONNEY FORGE                                      ,SWHL-12-RFSF                                      ,PCSSME  ,1999-2-22
V01014,VELAN                                             ,F-0054T-02TS                                      ,PCSSME  ,1999-2-22
V01017,COOPER                                            ,115-RF                                            ,PCSSME  ,1997-6-16
V01017,KITZ*                                             ,K150UMAM                                          ,PCSSME  ,1999-2-22
V01017,LADISH                                            ,8275-CF8M (1)                                     ,PCS41CR ,1997-7-28
V01017,PACIFIC                                           ,150-12-CF8M                                       ,PCS41CR ,1997-7-23
V01017,PACIFIC                                           ,2155-12 -CF8M                                     ,PCS41CR ,1997-7-23
V01017,POWELL                                            ,"2456 (3"" TO 20"")                                  ",PCS41CR ,1997-7-31
V01017,POWELL                                            ,"2491(1/2"" TO 2"")                                  ",PCS41CR ,1997-7-31
V01017,VELAN*                                            ,F-0064B-13-MX                                     ,PCSSME  ,1998-9-3
V01017,VELAN*                                            ,F-0064C-13-MX                                     ,PCSSME  ,1998-9-3
V01018,KITZ                                              ,K150UMAM                                          ,PCSSME  ,1999-7-19
V01018,POWELL                                            ,2456FBEC3                                         ,PCSSME  ,1999-7-19
V01018,VELAN                                             ,F-0054C-13                                        ,PCSSME  ,1999-7-19
V01020,KITZ*                                             ,W150SCLS                                          ,PCSSME  ,1999-2-18
V01020,NEWCO*                                            ,11W-CB2                                           ,PCSSME  ,1998-9-3
V01020,PACIFIC                                           ,150-U-WE(STD WT)                                  ,,
V01020,PACIFIC                                           ,2155-U-WE(STD WT)                                 ,,
V01020,VELAN*                                            ,B-0064C-02TY                                      ,PCSSME  ,1998-9-3
V01020,WALWORTH*                                         ,502WE-UT                                          ,PCSSME  ,1998-9-3
V01021,BONNEY FORGE                                      ,,PCSSME  ,1999-7-8
V01021,VELAN                                             ,F0064-E13MS                                       ,PCSSME  ,1999-7-8
V01022,COOPER                                            ,101-SE                                            ,PCSSME  ,1999-5-10
V01022,KITZ*                                             ,8273-CF3M                                         ,PCSSME  ,1999-5-10
V01022,KITZ*                                             ,AK150UMAOSMM                                      ,PCSSME  ,1999-5-10
V01023,KITZ                                              ,150SCLCLMM                                        ,PCSSME  ,1999-7-12
V01023,NEWCO                                             ,,PCSSME  ,1999-7-12
V01023,PACIFIC                                           ,,PCSSME  ,1999-7-12
V01023,VELAN                                             ,,PCSSME  ,1999-7-12
V01023,WALWORTH                                          ,,PCSSME  ,1999-7-12
V01030,COOPER                                            ,101-X                                             ,,
V01030,KITZ*                                             ,AW150UMAO                                         ,PCSSME  ,1998-9-3
V01030,LADISH                                            ,8274-CF3M                                         ,PWTDKC  ,1996-8-26
V01031,VELAN                                             ,W00054E-14MS                                      ,PCSSME  ,1999-7-8
V01031,VELAN                                             ,W0054E-14MS                                       ,PCSSME  ,1999-7-8
V01032,BONNEY FORGE                                      ,W/S0054E-14MS                                     ,PCSSME  ,1999-7-8
V01032,VELAN                                             ,W/S0054E-14MS                                     ,PCSSME  ,1999-7-8
V01033,COPPER                                            ,101                                               ,PCSSME  ,1999-7-19
V01034,COPPER                                            ,101                                               ,PCSSME  ,1999-7-19
V01035,BONNEY FORGE*                                     ,HL-18L-SW (1)                                     ,PCSSME  ,1999-2-19
V01035,COOPER                                            ,101-X                                             ,PCS41CR ,1997-7-23
V01035,KITZ*                                             ,AW150UMO                                          ,PCSSME  ,1998-9-3
V01035,LADISH                                            ,8274-CF3M                                         ,PCS41CR ,1997-7-28
V01035,POWELL                                            ,2490SWE(2)                                        ,PCS41CR ,1997-7-29
V01035,VELAN*                                            ,W-0054C-14MX                                      ,PCSSME  ,1999-2-19
V01035,VOGT*                                             ,SW12401 (1)                                       ,PCSSME  ,1999-2-19
V01036,BONNEY FORGE*                                     ,HL-18L-SW/T (1)                                   ,PCSSME  ,1999-2-19
V01036,COOPER                                            ,101-XSE                                           ,PCSSME  ,1998-12-29
V01036,KITZ*                                             ,AW/AK150UMAO                                      ,PCSSME  ,1999-2-22
V01036,LADISH VALVES                                     ,3273/4-CF3M                                       ,PCSSME  ,1998-12-29
V01036,VELAN*                                            ,C-2054B-14MX (1)                                  ,PCSSME  ,1999-2-19
V01036,VOGT*                                             ,TSW 12401 (1)                                     ,PCSSME  ,1998-12-29
V01045,KITZ*                                             ,150UMAM                                           ,PCSSME  ,1999-7-19
V01046,BONNEY FORGE                                      ,,PCSSME  ,1999-7-19
V01046,VELAN                                             ,F-0045T                                           ,PCSSME  ,1999-7-19
V01050,BONNEY FORGE*                                     ,L1-16-RF                                          ,PCSSME  ,1998-12-29
V01050,VELAN*                                            ,F-0054B-04TY                                      ,PCSSME  ,1998-12-29
V01051,BONNEY FORGE*                                     ,L1-10-RF                                          ,PCSSME  ,1998-9-4
V01051,VELAN*                                            ,F-0054B-09TY                                      ,PCSSME  ,1999-2-19
V01053,BONNEY FORGE                                      ,SL-16-RF                                          ,PCSSME  ,1999-2-22
V01053,VELAN                                             ,F-0054R-04TS                                      ,PCSSME  ,1999-2-22
V01054,BONNEY FORGE                                      ,SL-16-RF                                          ,PCSSME  ,1999-2-22
V01054,VELAN                                             ,F-0054R-04TS                                      ,PCSSME  ,1999-2-22
V01060,KITZ*                                             ,150SCL5CS                                         ,PCSSME  ,1999-2-22
V01060,PACIFIC                                           ,2155-U-C5                                         ,,
V01060,VELAN*                                            ,F-0064C-04TY                                      ,PCSSME  ,1998-9-4
V01060,WALWORTH*                                         ,5202F-UT                                          ,PCSSME  ,1998-9-4
V01080,KITZ*                                             ,150SCL12CS                                        ,PCSSME  ,1999-2-22
V01080,PACIFIC                                           ,2155-U-C12                                        ,,
V01080,VELAN*                                            ,F-0064C-06TY                                      ,PCSSME  ,1998-9-4
V01080,WALWORTH*                                         ,5202F-UT                                          ,PCSSME  ,1998-9-4
V01100,KITZ*                                             ,W150SCLS                                          ,PCSSME  ,1999-2-18
V01100,NEWCO*                                            ,11W-CB2                                           ,PCSSME  ,1998-9-4
V01100,PACIFIC                                           ,150-U-WE                                          ,PWTDKC  ,1996-8-26
V01100,PACIFIC                                           ,2155-U-WE                                         ,,
V01100,VELAN*                                            ,B-0064C-02TY                                      ,PCSSME  ,1999-2-19
V01100,WALWORTH*                                         ,5202WE-UT                                         ,PCSSME  ,1998-9-4
V01150,COOPER                                            ,115-RF-02                                         ,,
V01150,LADISH                                            ,8272                                              ,,
V01150,PACIFIC                                           ,M-2150-8-M35                                      ,PWTDKC  ,1996-8-26
V01150,VELAN                                             ,F-0064C-19XX                                      ,PCSSME  ,1998-9-4
V01160,BONNEY FORGE                                      ,SWHL-12-RF                                        ,PCSSME  ,1999-2-22
V01160,VELAN                                             ,F-0054T-02TS                                      ,PCSSME  ,1999-2-19
V01161,BONNEY FORGE                                      ,SL-12-RF                                          ,PCSSME  ,1999-2-22
V01161,VELAN                                             ,F-0054R-02TS                                      ,PCSSME  ,1998-12-29
V01162,BONNEY FORGE                                      ,SWHL-12-RF                                        ,PCSSME  ,1999-2-22
V01162,VELAN                                             ,F-0054T-02TS                                      ,PCSSME  ,1999-2-19
V01163,BONNEY FORGE                                      ,SL-12-RF                                          ,PCSSME  ,1999-2-22
V01163,VELAN                                             ,F-0054R-02TS                                      ,PCSSME  ,1999-2-19
V01165,BONNEY FORGE                                      ,SWHL-13-RF                                        ,PCSSME  ,1999-2-22
V01165,VELAN                                             ,F-0054T-02NB                                      ,PCSSME  ,1999-2-19
V01166,BONNEY FORGE                                      ,SL-13-RF                                          ,PCSSME  ,1999-2-22
V01166,VELAN                                             ,F-0054R-02NB                                      ,PCSSME  ,1999-2-19
V01167,BONNEY FORGE                                      ,SWHL-13-RF                                        ,PCSSME  ,1999-2-22
V01167,VELAN                                             ,F-0054T-02NB                                      ,PCSSME  ,1999-2-19
V01169,BONNEY FORGE                                      ,SL-13-RF                                          ,PCSSME  ,1999-2-22
V01169,VELAN                                             ,F-0054R-02NB                                      ,PCSSME  ,1999-2-19
V01171,BONNEY FORGE                                      ,,PCSSME  ,1999-7-7
V01171,VELAN                                             ,F-0054B-26TY                                      ,PCSSME  ,1999-7-7
V01171,VOGT                                              ,,PCSSME  ,1999-7-7
V01173,BONNEY FORGE                                      ,,PCSSME  ,1999-7-7
V01173,VELAN                                             ,,PCSSME  ,1999-7-7
V01174,KITZ                                              ,,PCSSME  ,1999-7-7
V01174,NEWCO                                             ,,PCSSME  ,1999-7-7
V01174,PACIFIC                                           ,,PCSSME  ,1999-7-7
V01174,VELAN                                             ,,PCSSME  ,1999-7-7
V01174,WALWORTH                                          ,,PCSSME  ,1999-7-7
V01300,BONNEY FORGE                                      ,SL-10-RF                                          ,PCSSME  ,1999-2-22
V01300,VELAN                                             ,F-0054R-09TS                                      ,PCSSME  ,1999-2-19
V01301,BONNEY FORGE                                      ,SL-13-RF                                          ,PCSSME  ,1999-2-22
V01301,VELAN                                             ,F-0054R-02MS                                      ,PCSSME  ,1999-2-19
V01302,BONNEY FORGE                                      ,SL-13-RF                                          ,PCSSME  ,1999-2-22
V01302,VELAN                                             ,F-0054R-02MS                                      ,PCSSME  ,1999-2-19
V01303,BONNEY FORGE                                      ,1SL-10-RF                                         ,PCSSME  ,1998-12-30
V01303,VELAN                                             ,F-0054R-09TS                                      ,PCSSME  ,1999-2-19
V01304,BONNEY FORGE                                      ,,PCSSME  ,1999-7-8
V01304,VELAN                                             ,F-0054T-13MS                                      ,PCSSME  ,1999-7-8
V01352,BONNEY FORGE                                      ,SWHL-18-RF                                        ,PCSSME  ,1999-2-19
V01352,VELAN                                             ,F-0054T-13MS                                      ,PCSSME  ,1999-2-19
V01353,BONNEY FORGE                                      ,SWHL-18-RF                                        ,PCSSME  ,1999-2-19
V01353,VELAN                                             ,F-0054T-13MS                                      ,PCSSME  ,1999-2-19
V01357,COOPER                                            ,115-RF-ALLOY C                                    ,NEUHKM  ,2007-11-13
V01357,KITZ                                              ,150UMAHC                                          ,THOM1J  ,2007-11-13
V01357,LADISH VALVES                                     ,8272-ALLOY C                                      ,MARTD6  ,2007-11-13
V01360,VELAN                                             ,F-0064T-13MY (see remark)                         ,THOM1J  ,2005-1-31
V01400,KITZ*                                             ,W150SCJS                                          ,PCSSME  ,1999-2-19
V01400,NEWCO*                                            ,21W-CB2                                           ,PCSSME  ,1998-9-4
V01400,PACIFIC                                           ,160-U-WE(STD WT)                                  ,,
